name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
NormalizedIncome,"157,423,000","138,313,000","99,402,000","42,774,000","-14,991,000","117,695,000","88,021,000","33,146,000","21,500,000","18,518,000","36,808,000","25,438,000"
InterestIncome,"20,724,000","17,741,000","5,005,000","878,000","2,937,000","7,053,000","4,681,000","54,000","21,000",,"377,000",
InterestExpense,"89,475,000","86,576,000","88,628,000","81,211,000","82,117,000","60,852,000","50,746,000","35,337,000","27,146,000","24,549,000","21,800,000","8,912,000"
NetInterestIncome,"-68,751,000","-68,835,000","-83,623,000","-80,333,000","-79,180,000","-53,799,000","-46,065,000","-35,283,000","-27,125,000","-24,549,000","-21,800,000","-8,912,000"
EBIT,"322,351,000","294,117,000","250,066,000","133,171,000","67,600,000","234,029,000","182,550,000","464,518,000","117,054,000","71,827,000","60,278,000","35,344,000"
EBITDA,"478,184,000","443,530,000","374,088,000","195,971,000","121,432,000","278,612,000","218,185,000","496,613,000","148,948,000","104,463,000","93,120,000","64,398,000"
ReconciledCostOfRevenue,"530,497,000","513,740,000","462,738,000","271,151,000","220,007,000","330,473,000","279,895,000","189,589,000","182,046,000","170,499,000","149,281,000","122,799,000"
ReconciledDepreciation,"155,833,000","149,413,000","124,022,000","62,800,000","53,832,000","44,583,000","35,635,000","32,095,000","31,894,000","32,636,000","32,842,000","29,054,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"157,423,000","138,313,000","99,402,000","42,774,000","-14,991,000","117,695,000","88,021,000","33,146,000","21,500,000","18,518,000","36,808,000","25,438,000"
NormalizedEBITDA,"478,184,000","443,530,000","374,088,000","195,971,000","121,432,000","278,612,000","218,185,000","496,613,000","148,948,000","104,463,000","93,120,000","64,398,000"
TaxRateForCalcs,"0.285","0.282","0.313","0.109","0.27","0.218","0.217","0.4","0.208","0.194","0.031","0.024"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0"
