name,ttm,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016
			ChangeInOtherWorkingCapital,"-12,129,000","-6,753,000","622,000","3,264,000","1,448,000","3,325,000","1,720,000","2,719,000","1,574,000"
InvestingCashFlow,"-11,523,000","64,326,000","10,233,000","39,093,000","-70,461,000","-225,184,000","-16,565,000","-17,130,000","-15,238,000"
	CashFlowFromContinuingInvestingActivities,"-11,523,000","64,326,000","10,233,000","39,093,000","-70,461,000","-225,184,000","-16,565,000","-17,130,000","-15,238,000"
		NetPPEPurchaseAndSale,"-14,099,000","-18,170,000","-46,351,000","-35,256,000","-30,207,000","-30,825,000","-16,565,000","-17,130,000","-15,238,000"
			PurchaseOfPPE,"-14,407,000","-19,012,000","-46,351,000","-35,256,000","-30,207,000","-30,825,000","-16,565,000","-17,130,000","-15,238,000"
			SaleOfPPE,"308,000","842,000","0","0",,,,"35,000",
		NetInvestmentPurchaseAndSale,"2,576,000","82,496,000","56,584,000","74,349,000","-40,254,000","-194,359,000","0","0",
			PurchaseOfInvestment,"-47,893,000","-258,000","-94,420,000","-173,726,000","-248,318,000","-285,205,000","0","0",
			SaleOfInvestment,"50,469,000","82,754,000","151,004,000","248,075,000","208,064,000","90,846,000","0","0",
FinancingCashFlow,"-16,973,000","-15,539,000","-60,250,000","-38,885,000","-1,435,000","6,945,000","134,795,000","-3,028,000","499,000"
	CashFlowFromContinuingFinancingActivities,"-16,973,000","-15,539,000","-60,250,000","-38,885,000","-1,435,000","6,945,000","134,795,000","-3,028,000","499,000"
		NetCommonStockIssuance,,"0","-30,042,000","0","0","0","129,007,000","-3,557,000","0"
			CommonStockIssuance,,,,,"0","0","129,046,000","0","0"
			CommonStockPayments,,"0","-30,042,000","0","0","0","-39,000","-3,557,000","0"
		ProceedsFromStockOptionExercised,"6,000","161,000","1,534,000","25,932,000","12,078,000","13,693,000","6,384,000","2,346,000","436,000"
		NetOtherFinancingCharges,"-16,979,000","-15,700,000","-31,742,000","-64,817,000","-13,513,000","-6,748,000","-596,000","-1,817,000","63,000"
EndCashPosition,"196,606,000","239,437,000","130,935,000","129,785,000","143,455,000","170,932,000","310,366,000","119,958,000","101,492,000"
	ChangesInCash,"3,031,000","106,617,000","5,378,000","-15,467,000","-29,019,000","-139,645,000","190,408,000","18,466,000","30,377,000"
	EffectOfExchangeRateChanges,"-99,000","1,885,000","-4,228,000","1,797,000","1,542,000","211,000","0","0",
	BeginningCashPosition,"193,575,000","130,935,000","129,785,000","143,455,000","170,932,000","310,366,000","119,958,000","101,492,000","71,115,000"
IncomeTaxPaidSupplementalData,"1,560,000","1,111,000","868,000","461,000","365,000","966,000","10,071,000","28,023,000","39,387,000"
CapitalExpenditure,"-14,407,000","-19,012,000","-46,351,000","-35,256,000","-30,207,000","-30,825,000","-16,565,000","-17,130,000","-15,238,000"
IssuanceOfCapitalStock,,,,,"0","0","129,046,000","0","0"
RepurchaseOfCapitalStock,,"0","-30,042,000","0","0","0","-39,000","-3,557,000","0"
FreeCashFlow,"12,750,000","38,818,000","9,044,000","-50,931,000","12,670,000","47,769,000","55,613,000","21,494,000","29,878,000"
