name,ttm,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016
NormalizedIncome,"-125,100,000","-171,973,000","-207,121,000","-8,876,000","-67,117,000","36,881,000","36,127,615","10,734,600","34,992,400"
InterestIncome,"10,329,000","6,220,000","930,000","2,610,000","5,535,000","5,791,000","904,000","42,000",
NetInterestIncome,"10,329,000","6,220,000","930,000","2,610,000","5,535,000","5,791,000","904,000","42,000",
EBIT,"-136,998,000","-177,797,000","-208,045,000","-63,361,000","-51,664,000","23,495,000","43,024,000","31,640,000","64,228,000"
EBITDA,"-88,568,000","-134,501,000","-170,860,000","-33,432,000","-29,047,000","37,826,000","53,566,000","39,295,000","67,772,000"
ReconciledCostOfRevenue,"802,218,000","946,902,000","1,164,338,000","1,153,622,000","957,523,000","874,429,000","690,483,000","542,718,000","407,064,000"
ReconciledDepreciation,"48,430,000","43,296,000","37,185,000","29,929,000","22,617,000","14,331,000","10,542,000","7,655,000","3,544,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-125,100,000","-171,973,000","-207,121,000","-8,876,000","-67,117,000","36,881,000","44,900,000","-594,000","33,181,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,"10,685,000","-18,881,000","-3,019,000"
TotalUnusualItems,,,,,,,"10,685,000","-18,881,000","-3,019,000"
NormalizedEBITDA,"-88,568,000","-134,501,000","-170,860,000","-33,432,000","-29,047,000","37,826,000","42,881,000","58,176,000","70,791,000"
TaxRateForCalcs,"0.4","0.21","0.011","0.27","0.27","0.27","0.179","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","1,912,615","-7,552,400","-1,207,600"
