name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
				ChangeInPayable,"93,168,000","19,212,000","8,024,000","7,371,000","-2,878,000","1,116,000","5,170,000"
					ChangeInAccountPayable,"93,168,000","19,212,000","8,024,000","7,371,000","-2,878,000","1,116,000","5,170,000"
				ChangeInAccruedExpense,"148,579,000","171,048,000","74,519,000","79,772,000","58,252,000","34,994,000","20,811,000"
			ChangeInOtherCurrentLiabilities,"-49,764,000","-40,498,000","-42,342,000","-38,249,000","-31,281,000","-13,455,000","-2,537,000"
			ChangeInOtherWorkingCapital,"197,536,000","393,242,000","419,194,000","430,344,000","261,437,000","154,366,000","43,287,000"
InvestingCashFlow,"1,326,329,000","832,258,000","-597,885,000","-20,800,000","-4,036,645,000","138,495,000","-362,642,000"
	CashFlowFromContinuingInvestingActivities,"1,326,329,000","832,258,000","-597,885,000","-20,800,000","-4,036,645,000","138,495,000","-362,642,000"
		CapitalExpenditureReported,"-30,314,000","-34,133,000","-24,012,000","-12,772,000","-5,293,000","-4,265,000","-1,958,000"
		NetPPEPurchaseAndSale,"-43,380,000","-35,086,000","-25,128,000","-16,221,000","-35,037,000","-18,583,000","-2,058,000"
			PurchaseOfPPE,"-43,380,000","-35,086,000","-25,128,000","-16,221,000","-35,037,000","-18,583,000","-2,058,000"
		NetIntangiblesPurchaseAndSale,"-1,264,000","-28,744,000","-700,000","-24,334,000","-13,667,000","-4,265,000","-1,958,000"
			PurchaseOfIntangibles,"-1,264,000","-28,744,000","-700,000","-24,334,000","-13,667,000","-4,265,000","-1,958,000"
		NetBusinessPurchaseAndSale,"-20,041,000","-275,706,000","-362,609,000","0","-6,035,000","-6,314,000","0"
			PurchaseOfBusiness,"-20,041,000","-275,706,000","-362,609,000","0","-6,035,000","-6,314,000","0"
		NetInvestmentPurchaseAndSale,"1,422,077,000","1,205,927,000","-185,436,000","32,527,000","-3,981,906,000","167,657,000","-358,626,000"
			PurchaseOfInvestment,"-2,024,984,000","-2,476,206,000","-3,901,321,000","-4,250,338,000","-4,859,852,000","-622,854,000","-738,383,000"
			SaleOfInvestment,"3,447,061,000","3,682,133,000","3,715,885,000","4,282,865,000","877,946,000","790,511,000","379,757,000"
FinancingCashFlow,"-1,672,327,000","-854,103,000","-92,624,000","178,198,000","4,775,290,000","57,469,000","413,601,000"
	CashFlowFromContinuingFinancingActivities,"-1,672,327,000","-854,103,000","-92,624,000","178,198,000","4,775,290,000","57,469,000","413,601,000"
		NetIssuancePaymentsOfDebt,,,"0","0","2,090,000","0","0"
			NetLongTermDebtIssuance,,,"0","0","2,090,000","0","0"
				LongTermDebtIssuance,,,"0","0","2,090,000","0","0"
		NetCommonStockIssuance,"-1,316,367,000","-591,732,000","0","0","4,242,284,000","0","-29,644,000"
			CommonStockIssuance,,,"0","0","4,242,284,000","0","0"
			CommonStockPayments,"-1,316,367,000","-591,732,000","0","0","0","0","-29,644,000"
		NetPreferredStockIssuance,,,"0","0","478,573,000","24,121,000","438,227,000"
			PreferredStockIssuance,,,"0","0","478,573,000","24,121,000","438,227,000"
		ProceedsFromStockOptionExercised,"120,243,000","118,428,000","80,824,000","179,263,000","53,507,000","33,348,000","5,018,000"
		NetOtherFinancingCharges,"-476,203,000","-380,799,000","-173,448,000","-1,065,000","-1,164,000",,
EndCashPosition,"1,318,202,000","1,780,977,000","956,731,000","1,102,534,000","835,193,000","141,976,000","122,570,000"
	ChangesInCash,"544,822,000","826,277,000","-144,870,000","267,577,000","693,228,000","19,406,000","-93,023,000"
	EffectOfExchangeRateChanges,"-4,945,000","-2,031,000","-933,000","-236,000","-11,000","0","0"
	BeginningCashPosition,"773,380,000","956,731,000","1,102,534,000","835,193,000","141,976,000","122,570,000","215,593,000"
IncomeTaxPaidSupplementalData,,"12,452,000","6,550,000","1,482,000","1,195,000","1,428,000","235,000"
CapitalExpenditure,"-74,958,000","-97,963,000","-49,840,000","-53,327,000","-48,704,000","-22,848,000","-4,016,000"
IssuanceOfCapitalStock,,,"0","0","4,720,857,000","24,121,000","438,227,000"
IssuanceOfDebt,,,"0","0","2,090,000","0","0"
RepurchaseOfCapitalStock,"-1,316,367,000","-591,732,000","0","0","0","0","-29,644,000"
FreeCashFlow,"815,862,000","750,159,000","495,799,000","56,852,000","-94,121,000","-199,406,000","-147,998,000"
