name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
InvestingCashFlow,"165,200,000","395,200,000","-48,500,000","-524,800,000","-233,600,000","-320,000,000","-633,800,000","-23,900,000","-118,000,000","-85,600,000"
	CashFlowFromContinuingInvestingActivities,"165,200,000","395,200,000","-48,500,000","-524,800,000","-233,600,000","-320,000,000","-633,800,000","-23,900,000","-118,000,000","-85,600,000"
		CapitalExpenditureReported,"-34,500,000","-24,300,000","-33,800,000","-22,100,000","-80,100,000","-136,100,000","-63,000,000","-25,300,000","-115,200,000","-78,700,000"
		NetPPEPurchaseAndSale,,,,,,,,"2,200,000",,"0"
			SaleOfPPE,,,,,,,,"2,200,000",,"0"
		NetIntangiblesPurchaseAndSale,,"-300,000","-1,100,000","-6,800,000","-200,000","-1,700,000","-3,000,000","-800,000","-8,500,000","-4,600,000"
			PurchaseOfIntangibles,,"-300,000","-1,100,000","-6,800,000","-200,000","-1,700,000","-3,000,000","-800,000","-8,500,000","-4,600,000"
		NetBusinessPurchaseAndSale,"-21,100,000","0","-64,800,000","-140,000,000","0","-173,900,000","0","0",,"-2,300,000"
			PurchaseOfBusiness,"-21,100,000","0","-75,400,000","-140,000,000","0","-173,900,000","0","0",,"-2,300,000"
			SaleOfBusiness,,"0","10,600,000","0","0","-173,900,000","0",,,
		NetInvestmentPurchaseAndSale,"195,600,000","395,900,000","31,600,000","-396,100,000","-170,600,000","-24,500,000","-566,800,000","0","0",
			PurchaseOfInvestment,"-223,100,000","-208,700,000","-571,200,000","-1,138,400,000","-756,100,000","-775,400,000","-850,400,000","0","0",
			SaleOfInvestment,"418,700,000","604,600,000","602,800,000","742,300,000","585,500,000","750,900,000","283,600,000","0","0",
		NetOtherInvestingChanges,"25,500,000","23,900,000","19,600,000","40,200,000","17,300,000","16,200,000","-1,000,000","2,200,000","5,700,000",
FinancingCashFlow,"-1,020,000,000","-799,200,000","-1,041,800,000","16,200,000","-577,700,000","-176,700,000","300,800,000","-231,700,000","-134,500,000","-89,600,000"
	CashFlowFromContinuingFinancingActivities,"-1,020,000,000","-799,200,000","-1,041,800,000","16,200,000","-577,700,000","-176,700,000","300,800,000","-231,700,000","-134,500,000","-89,600,000"
		NetIssuancePaymentsOfDebt,"-126,600,000","-126,600,000","-127,500,000","1,013,400,000","-89,500,000","-92,900,000","-109,100,000","-133,000,000","-132,900,000","-91,100,000"
			NetLongTermDebtIssuance,"-126,600,000","-126,600,000","-127,500,000","1,013,400,000","-89,500,000","-92,900,000","-109,100,000","-133,000,000","-132,900,000","-91,100,000"
				LongTermDebtIssuance,,"0","0","1,389,100,000","0","0","0","0","8,800,000","11,900,000"
				LongTermDebtPayments,"-126,600,000","-126,600,000","-127,500,000","-375,700,000","-89,500,000","-92,900,000","-109,100,000","-133,000,000","-141,700,000","-103,000,000"
		NetCommonStockIssuance,"-748,500,000","-537,400,000","-794,900,000","-1,051,600,000","-395,200,000","2,200,000","772,800,000","-87,400,000","0","1,500,000"
			CommonStockIssuance,"1,400,000","2,500,000","500,000","6,900,000","2,300,000","2,200,000","772,800,000","500,000","0","1,500,000"
			CommonStockPayments,"-749,900,000","-539,900,000","-795,400,000","-1,058,500,000","-397,500,000","0","0","-87,900,000","0","0"
		ProceedsFromStockOptionExercised,,"0","0","202,900,000","0","0",,,,
		NetOtherFinancingCharges,"-144,900,000","-135,200,000","-119,400,000","-148,500,000","-93,000,000","-86,000,000","-362,900,000","-11,300,000","-1,600,000",
EndCashPosition,"517,800,000","614,900,000","232,800,000","533,000,000","314,900,000","551,300,000","519,300,000","430,000,000","352,700,000","356,900,000"
	ChangesInCash,"7,500,000","379,700,000","-293,000,000","221,200,000","-240,500,000","31,800,000","92,400,000","74,700,000","100,000","-160,400,000"
	EffectOfExchangeRateChanges,"-2,700,000","2,400,000","-7,200,000","-3,100,000","4,100,000","200,000","-3,100,000","2,600,000","-4,300,000","-900,000"
	BeginningCashPosition,"510,300,000","232,800,000","533,000,000","314,900,000","551,300,000","519,300,000","430,000,000","352,700,000","356,900,000","518,200,000"
IncomeTaxPaidSupplementalData,,"68,200,000","27,600,000","4,200,000","5,000,000","600,000","1,400,000","3,400,000","1,500,000","200,000"
InterestPaidSupplementalData,,"10,500,000","8,200,000","8,500,000","9,600,000","9,800,000","8,300,000","10,800,000","14,900,000","13,200,000"
CapitalExpenditure,"-34,800,000","-24,600,000","-34,900,000","-28,900,000","-80,300,000","-137,800,000","-66,000,000","-26,100,000","-123,700,000","-83,300,000"
IssuanceOfCapitalStock,"1,400,000","2,500,000","500,000","6,900,000","2,300,000","2,200,000","772,800,000","500,000","0","1,500,000"
IssuanceOfDebt,,"0","0","1,389,100,000","0","0","0","0","8,800,000","11,900,000"
RepaymentOfDebt,"-126,600,000","-126,600,000","-127,500,000","-375,700,000","-89,500,000","-92,900,000","-109,100,000","-133,000,000","-141,700,000","-103,000,000"
RepurchaseOfCapitalStock,"-749,900,000","-539,900,000","-795,400,000","-1,058,500,000","-397,500,000","0","0","-87,900,000","0","0"
FreeCashFlow,"827,500,000","759,100,000","762,400,000","700,900,000","490,500,000","390,700,000","359,400,000","304,200,000","128,900,000","-68,500,000"
