name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
OtherIncomeExpense,"157,500,000","151,500,000","-167,100,000","-1,200,000","-373,100,000","16,000,000","6,800,000","13,200,000","4,900,000","-4,200,000"
	GainOnSaleOfSecurity,,"155,200,000","-175,200,000","-31,300,000",,,,,,
	SpecialIncomeCharges,"157,400,000","155,200,000","-175,200,000","-31,300,000","-398,200,000","0","0",,,
		ImpairmentOfCapitalAssets,,,"175,200,000","31,300,000","398,200,000","0","0",,,
		OtherSpecialCharges,,"-155,200,000","175,200,000","31,300,000",,,,,,
	OtherNonOperatingIncomeExpenses,"100,000","-3,700,000","8,100,000","30,100,000","25,100,000","16,000,000","6,800,000","13,200,000","4,900,000","-4,200,000"
PretaxIncome,"692,500,000","554,400,000","192,700,000","299,300,000","-250,200,000","-52,000,000","-480,100,000","-111,500,000","-205,000,000","-325,600,000"
TaxProvision,"108,300,000","100,800,000","-360,500,000","-36,500,000","6,100,000","700,000","4,800,000","200,000","5,200,000","300,000"
NetIncomeCommonStockholders,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
	NetIncome,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
		NetIncomeIncludingNoncontrollingInterests,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
			NetIncomeContinuousOperations,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
DilutedNIAvailtoComStockholders,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
BasicEPS,"1.74","1.33","1.53","0.87","-0.62","-0.13","-1.35","-0.284","-0.586","-0.909"
DilutedEPS,"1.72","1.31","1.52","0.85","-0.62","-0.13","-1.35","-0.284","-0.586","-0.909"
BasicAverageShares,"333,400,000","341,200,000","361,200,000","388,000,000","414,300,000","411,600,000","358,600,000","393,023,459","358,600,000","358,600,000"
DilutedAverageShares,"338,400,000","345,600,000","363,300,000","395,800,000","414,300,000","411,600,000","358,600,000","393,023,459","358,600,000","358,600,000"
TotalOperatingIncomeAsReported,"668,600,000","538,700,000","181,300,000","274,400,000","-277,000,000","-80,500,000","-494,000,000","-113,700,000","-193,500,000","-306,200,000"
TotalExpenses,"2,022,600,000","2,118,100,000","1,968,400,000","1,852,200,000","1,792,700,000","1,741,800,000","1,885,700,000","1,220,500,000","1,038,300,000","910,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
NormalizedIncome,"451,415,768.953","326,618,181.818","691,608,000","358,649,000","34,386,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
NetInterestIncome,"23,800,000","19,400,000","3,300,000","-5,200,000","1,700,000","12,500,000","7,100,000","-11,000,000","-16,400,000","-15,200,000"
EBIT,"511,200,000","383,500,000","356,500,000","305,700,000","121,200,000","-80,500,000","-494,000,000","-113,700,000","-193,500,000","-306,200,000"
EBITDA,"659,800,000","553,500,000","513,600,000","457,100,000","280,500,000","93,000,000","-327,200,000","68,100,000","-1,900,000","-156,600,000"
ReconciledCostOfRevenue,"454,400,000","478,500,000","444,200,000","444,200,000","414,600,000","411,000,000","394,700,000","368,900,000","390,600,000","407,400,000"
ReconciledDepreciation,"148,600,000","170,000,000","157,100,000","151,400,000","159,300,000","173,500,000","166,800,000","181,800,000","191,600,000","149,600,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"584,200,000","453,600,000","553,200,000","335,800,000","-256,300,000","-52,700,000","-484,900,000","-111,700,000","-210,200,000","-325,900,000"
TotalUnusualItemsExcludingGoodwill,"157,400,000","155,200,000","-175,200,000","-31,300,000","-398,200,000","0","0",,,
TotalUnusualItems,"157,400,000","155,200,000","-175,200,000","-31,300,000","-398,200,000","0","0",,,
NormalizedEBITDA,"502,400,000","398,300,000","688,800,000","488,400,000","678,700,000","93,000,000","-327,200,000","68,100,000","-1,900,000","-156,600,000"
TaxRateForCalcs,"0.156","0.182","0.21","0.27","0.27","0.27","0.27","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"24,615,768.953","28,218,181.818","-36,792,000","-8,451,000","-107,514,000","0","0","0","0","0"
